,degree,betweenness,closeness,eigenvector,degree_rank,betweenness_rank,closeness_rank,eigenvector_rank
Spiral,0.08895705521472393,8.262289500479475e-05,0.4808259587020649,0.022178763672459134,231,245,286,238
Banshee / Sean Cassidy,0.2116564417177914,0.0017923499757507586,0.5478991596638656,0.04393264089283255,89,66,106,122
Legion Ii / David Hall,0.08895705521472393,1.9397290343316647e-05,0.4808259587020649,0.023960647907323655,231,309,286,231
Havok / Alex Summers,0.3803680981595092,0.0042312734987053355,0.6174242424242424,0.09148011424886425,39,45,39,39
Longshot,0.10122699386503067,7.847096291817238e-05,0.49544072948328266,0.027774464540565237,204,248,250,192
Forge,0.22392638036809817,0.0011446064800501538,0.5630397236614854,0.056599417611650084,83,88,80,92
Sabretooth / Victor Cr,0.12269938650306748,9.497436828891941e-05,0.4917043740573152,0.029680112938337957,169,235,261,183
"Maddicks, Arthur Art",0.07975460122699386,0.00014240382780626333,0.4704184704184704,0.013176703710342684,256,213,301,295
Warlock Iii,0.18098159509202455,0.0013874663005833492,0.5497470489038786,0.040375022468018364,108,80,101,138
Rictor / Julio Esteban,0.16257668711656442,0.0007355261457354062,0.5109717868338558,0.03169950773903277,128,117,213,174
Sunspot / Roberto Daco,0.25153374233128833,0.003470358444234076,0.5719298245614035,0.04820008140331259,68,48,68,107
Firefist / Rusty Colli,0.09815950920245399,0.0004647492468117428,0.482962962962963,0.017010971696910186,212,142,280,277
Bishop  / ,0.20858895705521474,0.0014163115508197494,0.5582191780821918,0.05128814906454397,92,79,87,102
Daytripper / Amanda Se,0.07668711656441718,3.564423439653006e-05,0.4565826330532213,0.018360393956015367,264,288,312,265
Wild Child / Kyle Gibn,0.17177914110429449,0.0003972123866245985,0.5370675453047776,0.051686207652401735,117,154,134,100
Thunderbird Ii / James,0.18098159509202455,0.0009814691670652163,0.5150078988941548,0.036058918001310156,108,99,207,153
Sauron / Dr. Karl Lyko,0.07668711656441718,3.721561690413887e-05,0.4704184704184704,0.02000083938178218,264,284,301,252
Siryn / Theresa Rourke,0.16257668711656442,0.0006797774430052896,0.5069984447900466,0.03300135129705488,128,122,220,166
Shatterstar Ii / Gavee,0.12883435582822086,0.00035287020063282267,0.49770992366412214,0.028549401298857902,160,164,247,187
Marrow / Sarah,0.10122699386503067,0.00017571403351827078,0.5030864197530864,0.025426636129352982,204,201,232,218
Feral / Maria Callasan,0.11042944785276074,0.00027539622228379257,0.49319213313161875,0.024553374965791293,191,172,257,225
Callisto,0.08282208588957056,4.092152605864032e-05,0.4773060029282577,0.020851455918703063,251,279,294,246
Mr. Sinister / Nathan,0.09202453987730061,3.0514458464377207e-05,0.48875562218890556,0.02551436902355949,222,298,270,217
Raza Longknife,0.08588957055214724,5.669593956357054e-05,0.5030864197530864,0.02067662753465733,239,267,232,247
Spider-woman / Jessica,0.09202453987730061,0.00017344550180910218,0.5232744783306581,0.031093939029903876,222,202,179,176
Cypher / Doug Ramsey,0.12576687116564417,0.0003000047625263825,0.5077881619937694,0.024432945190657418,163,169,219,227
Deathbird [shi'ar],0.08588957055214724,9.429168015576805e-05,0.5069984447900466,0.023035612420682056,239,237,220,234
"Hudson, Heather",0.25153374233128833,0.0007145618834219482,0.5640138408304498,0.07337326201405378,68,118,78,64
Stryfe,0.10429447852760737,3.996743711675182e-05,0.49244712990936557,0.02613931601149724,201,280,259,207
Iron Man Doppelgange,0.1411042944785276,1.4307437620321056e-06,0.5309446254071661,0.048121708824702,146,325,152,108
Puck / Eugene Milton J,0.2423312883435583,0.0006864445823372195,0.5669565217391305,0.07104228751302431,72,121,72,69
Silhouette,0.10736196319018405,6.271983731994808e-05,0.5266558966074314,0.03528071731660126,197,263,166,158
"Cortez, Fabian",0.06441717791411043,2.10968125280642e-05,0.4917043740573152,0.02131818125772535,290,304,261,244
Black King / Sebastian,0.0950920245398773,5.135192488621161e-05,0.4808259587020649,0.0226934433348618,217,270,286,236
Magik / Illyana Rasput,0.12576687116564417,0.00033198355886185837,0.5309446254071661,0.0253481128532098,163,166,152,220
Zabu,0.07668711656441718,9.766319292461625e-05,0.5174603174603175,0.023727396450045207,264,234,199,232
Domino Iii / Beatrice / ,0.0736196319018405,0.00014665919545634465,0.4670487106017192,0.015137678693437224,272,211,305,286
Caliban / ,0.12576687116564417,0.00022148166759391292,0.4880239520958084,0.026573875088435246,163,181,272,205
Apocalypse / En Sabah,0.17177914110429449,0.0007768360087294037,0.5370675453047776,0.042531583422715666,117,112,134,130
"Hunter, Stevie",0.11656441717791412,0.00010111572402608405,0.4822485207100592,0.027377793957300944,177,232,285,197
Corsair,0.10736196319018405,0.00012133454025781376,0.509375,0.025252179607101667,197,220,216,221
Ch'od,0.09202453987730061,6.597576459356053e-05,0.5046439628482973,0.022109261732780494,222,258,226,239
Mam'selle Hepzibah,0.09202453987730061,6.61471081866571e-05,0.5046439628482973,0.021540268404630223,222,256,226,243
Zero,0.0950920245398773,3.309222488248352e-05,0.49022556390977445,0.02321182853064254,217,295,264,233
X-man / Nathan Grey,0.0950920245398773,0.00011559203091239915,0.5249597423510467,0.030479459455967122,217,223,173,179
Karma / Xi'an Coy Manh,0.08895705521472393,8.97517248839015e-05,0.46175637393767704,0.016744157791141176,231,241,309,278
