,degree,betweenness,closeness,eigenvector,degree_rank,betweenness_rank,closeness_rank,eigenvector_rank
BARON MACABRE / ,0.0010934083099031551,0.0,0.34325237252694224,0.00035133541600421,5492,4067,5612,5756
BARON MORDO / KARL MOR,0.014058106841611996,0.00026292210320343133,0.4328893096220164,0.010308814229668275,813,529,911,998
BARON SAMEDI,0.00031240237425804435,0.0,0.3224051971596918,0.00020993780316963534,6269,4067,6256,6092
BARON STRUCKER / WOLFG,0.03327085285848173,0.0021692828986228587,0.47004405286343615,0.02137772506207721,291,149,337,427
BARON ZEBEK,0.002655420181193377,2.3240592932506406e-09,0.33418593725531137,0.0005820790515361148,3591,4056,6003,5316
BARRACUDA / ,0.002967822555451421,6.646525544403314e-07,0.37040037028465633,0.0018125379063590036,3351,3137,3597,3518
BARRAGE,0.005467041549515776,4.920928138817324e-06,0.40912576687116564,0.00608144100187889,2133,2319,1502,1607
"BARRANCO, MARIA ESME",0.001718213058419244,0.0,0.3775431974995577,0.0023691053792847558,4561,4067,3003,3034
"BARRENOS, OMAR",0.004529834426741643,4.2268639186103394e-07,0.3619812280900147,0.0022730371170693094,2437,3265,4395,3111
B'ARR,0.0032802249297094657,4.276747861882162e-07,0.36899135446685877,0.002361481046179289,3094,3260,3793,3039
BARRIER / ,0.0010934083099031551,0.0,0.3283582089552239,0.00022723320122031236,5492,4067,6132,6031
BARRINGTON,0.0021868166198063103,0.0,0.3460353494405708,0.0012757364709313009,4042,4067,5373,4151
"BARRON, RICK",0.0014058106841611997,0.0,0.3284255886728569,0.00023423703013490427,5057,4067,6129,6022
"BARROWS, WALTER",0.0012496094970321774,0.0,0.3055409726530807,0.00020171260789735615,5271,4067,6337,6107
"BARTLETT, STU",0.001718213058419244,9.272253379564587e-09,0.38070884871550903,0.0018300569430452396,4561,3964,2802,3498
"BARTON, SEN.",0.0012496094970321774,0.0,0.37100139082058414,0.0005582170239194657,5271,4067,3541,5362
BARTOS,0.0031240237425804434,0.0,0.3602701181767023,0.001543310531811404,3214,4067,4494,3814
BASALLO / LAVA MEN KIN,0.0039050296782255542,3.964397093890716e-06,0.39489267209474466,0.003991489761788871,2721,2430,2041,2223
BASALTAR,0.0031240237425804434,0.0,0.3602701181767023,0.0015433105318114029,3214,4067,4494,3817
BASILISK / BASIL ELKS,0.0028116213683223993,5.7235650988827214e-08,0.4020094191522763,0.004323487702533313,3463,3717,1723,2111
