,degree,betweenness,closeness,eigenvector,degree_rank,betweenness_rank,closeness_rank,eigenvector_rank
"STACY, ARTHUR",0.006837606837606838,1.6940435830641393e-06,0.348681269557443,0.003836352541260006,605,974,868,879
"STACY, CAPT. GEORGE",0.006837606837606838,5.759226290154533e-07,0.3508771929824561,0.004138840104095077,605,1109,769,847
"STACY, GWEN",0.009401709401709401,3.18875960136616e-06,0.3511931562359298,0.004988000351243503,427,926,751,745
"STACY, GWEN (CLONE)",0.0038461538461538464,1.6657639950006095e-07,0.3485254691689008,0.003084592957861831,1005,1224,878,1023
"STACY, JILL",0.009829059829059829,1.2227431380157303e-05,0.35061432424333233,0.004721960569921337,414,758,798,781
"STACY, PAUL",0.004273504273504274,5.212934527456402e-07,0.3479553903345725,0.002522202853271123,937,1118,910,1165
STAINED GLASS SCARLE,0.001282051282051282,0.0,0.31561909900188834,0.0006424080061297974,1804,1310,1865,1966
STALLIOR,0.006837606837606838,0.00014835648854309144,0.3439153439153439,0.007310317068979483,605,464,1116,584
"STALYENKO, COL. YURI",0.0059829059829059825,1.3343108682997523e-07,0.3234277816171389,0.0037039213958829213,702,1240,1683,900
"STANE, OBADIAH",0.003418803418803419,6.02931342563664e-07,0.33859065258283894,0.00203368120611697,1126,1100,1257,1319
"STANKOWICZ, FABIAN",0.014102564102564103,0.00020304719195638992,0.3986371379897785,0.021369844291641363,296,418,221,252
"STAPLES, EDNA M. GRA",0.0038461538461538464,0.0,0.35955746773202213,0.0068950118355737555,1005,1310,530,605
STARBOLT,0.0059829059829059825,0.00013458352867548544,0.3509298140371926,0.0072919539650072055,702,477,761,585
STARFOX / EROS,0.037606837606837605,0.001209544193414115,0.4475043029259897,0.057139997556970044,106,211,86,85
"STARK, MORGAN",0.002136752136752137,0.0,0.3384437373445184,0.0021049317610435173,1489,1310,1268,1290
"STARR, TRIXIE TRISH",0.0017094017094017094,2.4058009500157133e-07,0.33476394849785407,0.001244359628815041,1649,1196,1402,1648
STARSHINE II / BRANDY,0.01282051282051282,0.009160364798719539,0.3273185060847671,0.0017664465330671393,326,54,1631,1420
STARSHINE III / ANARRA,0.0038461538461538464,0.0,0.2468354430379747,1.8923393629823687e-05,1005,1310,2322,2317
STARSHINE / LANDRA,0.0008547008547008547,0.0,0.26606026151222284,6.052916447712701e-05,1996,1310,2225,2258
"ST. CROIX, CLAUDETTE",0.005555555555555556,4.87678608051985e-07,0.29850746268656714,0.0017002605965916696,754,1122,2046,1448
"ST. CROIX, NICOLE",0.005555555555555556,4.87678608051985e-07,0.29850746268656714,0.001700260596591671,754,1122,2046,1447
"STEELE, BOBBY",0.005128205128205128,2.3630560958582053e-06,0.332433584315954,0.0028641905099076313,808,950,1475,1085
"STEELE, MARCY MASTER",0.009829059829059829,7.049567824296584e-05,0.362116991643454,0.008447260849384006,414,551,480,516
STEEL WIND,0.001282051282051282,0.0,0.26265574138511616,7.504818788562008e-05,1804,1310,2252,2239
STEGRON,0.00042735042735042735,0.0,0.3470780183921685,0.001198773680479419,2176,1310,1012,1690
STELLARAX,0.002564102564102564,0.0,0.32019704433497537,0.0018696183093037412,1362,1310,1785,1382
STELLARIS / LEAH PRINC,0.005128205128205128,6.828739803162105e-06,0.3447259870359458,0.0038523056789550414,808,837,1098,877
"STERMAN, ANDREA ANDI",0.00641025641025641,0.0005707778356272789,0.3365453760966489,0.003558355049508216,653,311,1372,932
"STEWART, MACKINLEY",0.00042735042735042735,0.0,0.2635431918008785,3.4927430653196846e-05,2176,1310,2244,2293
STICK,0.00042735042735042735,0.0,0.2635431918008785,3.4927430653196846e-05,2176,1310,2244,2293
STILETTO,0.002136752136752137,0.0008591802860928903,0.31443160440741735,0.0006713458758698405,1489,252,1877,1957
STILT-MAN / WILBUR DAY,0.002136752136752137,0.0,0.3373702422145329,0.0025225637939010463,1489,1310,1338,1163
STINGRAY / DR. WALTER,0.022222222222222223,0.0004178243578357756,0.40589765828274066,0.034502434365421636,193,331,200,156
"ST. LAWRENCE, COL. C",0.0038461538461538464,2.4509784751416606e-06,0.3479036574487065,0.004485375975833592,1005,947,914,802
